时间,交易类型,平均价1,平均价2,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-23T04:14:00+00:00,In,840.26359,840.6285,840.69,0.5947,500.0,1.0,4499.0,0.59475,4999.0
2018-02-23T04:16:00+00:00,In,840.23299,841.3175,841.0,0.2675,224.95,0.4499,4273.6001,0.86223,4998.73447
2018-02-23T04:18:00+00:00,In,840.20361,842.0605,842.39,0.2537,213.68001,0.4274,4059.49273,1.11589,4999.50561
2018-02-23T04:20:00+00:00,In,840.17469,842.656,843.44,0.2407,202.97464,0.4059,3856.11215,1.35654,5000.27134
2018-02-23T04:22:00+00:00,In,840.14381,842.831,843.08,0.2287,192.80561,0.3856,3662.92093,1.58523,4999.39738
2018-02-23T04:24:00+00:00,In,840.1128,842.613,841.11,0.2177,183.14605,0.3663,3479.40859,1.80297,4995.90818
2018-02-23T04:26:00+00:00,In,840.0819,842.1395,840.4,0.207,173.97043,0.3479,3305.09022,2.00998,4994.28013
2018-02-23T04:28:00+00:00,In,840.05125,841.9425,841.49,0.1964,165.25451,0.3305,3139.5052,2.20637,4996.1405
2018-02-23T04:30:00+00:00,In,840.02143,841.6685,841.0,0.1867,156.97526,0.314,2982.21599,2.39302,4994.74543
2018-02-23T04:32:00+00:00,In,839.99166,841.6305,841.0,0.1773,149.1108,0.2982,2832.80697,2.57032,4994.44721
2018-02-23T04:34:00+00:00,In,839.95779,841.231,837.56,0.1691,141.64035,0.2833,2690.88334,2.73943,4985.32202
2018-02-23T04:36:00+00:00,In,839.92132,840.504,835.0,0.1611,134.54417,0.2691,2556.07008,2.90056,4978.03999
2018-02-23T05:28:00+00:00,In,838.88344,838.916,840.29,0.1521,127.8035,0.2556,2428.01097,3.05266,4993.12836
2018-02-23T05:30:00+00:00,In,838.84539,839.095,840.99,0.1444,121.40055,0.2428,2306.36762,3.19701,4995.02242
2018-02-23T05:32:00+00:00,In,838.80815,839.359,842.15,0.1369,115.31838,0.2306,2190.81861,3.33394,4998.50032
2018-02-23T05:34:00+00:00,In,838.77147,839.4475,840.54,0.1303,109.54093,0.2191,2081.05859,3.46427,4992.91358
2018-02-23T05:36:00+00:00,In,838.73594,839.959,842.26,0.1235,104.05293,0.2081,1976.79756,3.58781,4998.66402
2018-02-23T05:38:00+00:00,In,838.69983,840.623,844.3,0.1171,98.83988,0.1977,1877.76,3.70487,5005.78546
2018-02-23T05:40:00+00:00,In,838.66442,841.4575,845.0,0.1111,93.888,0.1878,1783.68422,3.81598,5008.1911
2018-02-23T05:42:00+00:00,In,838.62851,842.0295,843.0,0.1058,89.18421,0.1784,1694.32164,3.92178,5000.38076
2018-02-23T05:44:00+00:00,In,838.59332,842.393,842.93,0.1005,84.71608,0.1694,1609.43613,4.02228,4999.9368
2018-02-23T05:46:00+00:00,In,838.559,842.693,842.99,0.0955,80.47181,0.1609,1528.80338,4.11774,5000.0172
2018-02-23T05:48:00+00:00,In,838.52603,842.8585,842.89,0.0907,76.44017,0.1529,1452.21033,4.20843,4999.45254
2018-02-23T05:50:00+00:00,In,838.49411,842.9095,842.0,0.0862,72.61052,0.1452,1379.45459,4.29466,4995.56182
2018-02-23T05:52:00+00:00,In,838.46354,842.783,840.64,0.082,68.97273,0.1379,1310.34392,4.37671,4989.58313
2018-02-23T05:54:00+00:00,In,838.4315,842.642,839.89,0.078,65.5172,0.131,1244.69569,4.45472,4986.16956
2018-02-23T05:56:00+00:00,In,838.39503,841.4435,833.34,0.0747,62.23478,0.1245,1182.33643,4.5294,4956.86669
2018-02-23T05:58:00+00:00,In,838.35883,840.025,829.6,0.0713,59.11682,0.1182,1123.10138,4.60066,4939.8085
2018-02-23T07:58:00+00:00,In,836.4605,836.505,839.69,0.0669,56.15507,0.1123,1066.834,4.66754,4986.11684
2018-02-23T08:00:00+00:00,In,836.43517,836.8965,839.07,0.0636,53.3417,0.1067,1013.38562,4.73111,4983.11628
2018-02-23T08:02:00+00:00,In,836.41032,837.3735,839.53,0.0604,50.66928,0.1013,962.615,4.79146,4985.19126
2018-02-23T08:04:00+00:00,In,836.38713,838.1235,843.01,0.0571,48.13075,0.0963,914.38799,4.84856,5001.76928
2018-02-23T08:06:00+00:00,In,836.36379,838.716,842.63,0.0543,45.7194,0.0914,868.57715,4.90281,4999.83539
2018-02-23T08:08:00+00:00,In,836.3402,839.1605,842.23,0.0516,43.42886,0.0869,825.06143,4.95438,4997.78741
2018-02-27T11:00:00+00:00,Out,853.91727,875.752,875.37,4.9544,4336.91407,8.6738,5153.30167,0,5153.30167
